Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 3007","","School sports/rights","H Judiciary","","3/9/2016","Young"
"HR 4670","","United States Navy","H Adopted","","2/25/2016","Chopp"
"HR 4674","","Wildland firefighters","H Adopted","","2/26/2016","Chopp"
"HR 4678","","Daffodil festival","H Adopted","","2/29/2016","Stambaugh"
