District,Member,Position,Counties,Chamber
31,"Hurst, Christopher (D)",2,"King (P), Pierce (P)",H
32,"Chase, Maralyn (D)",0,"King (P), Snohomish (P)",S
32,"Ryu, Cindy (D)",1,"King (P), Snohomish (P)",H
32,"Kagi, Ruth (D)",2,"King (P), Snohomish (P)",H
33,"Keiser, Karen (D)",0,King (P),S
33,"Orwall, Tina (D)",1,King (P),H
33,"Gregerson, Mia (D)",2,King (P),H
34,"Nelson, Sharon (D)",0,King (P),S
34,"Cody, Eileen (D)",1,King (P),H
34,"Fitzgibbon, Joe (D)",2,King (P),H
35,"Sheldon, Tim (D)",0,"Kitsap (P), Mason, Thurston (P)",S
35,"Griffey, Dan (R)",1,"Kitsap (P), Mason, Thurston (P)",H
35,"MacEwen, Drew (R)",2,"Kitsap (P), Mason, Thurston (P)",H
36,"Carlyle, Reuven (D)",0,King (P),S
36,"Frame, Noel (D)",1,King (P),H
36,"Tarleton, Gael (D)",2,King (P),H
37,"Jayapal, Pramila (D)",0,King (P),S
37,"Santos, Sharon Tomiko (D)",1,King (P),H
37,"Pettigrew, Eric (D)",2,King (P),H
38,"McCoy, John (D)",0,Snohomish (P),S
38,"Robinson, June (D)",1,Snohomish (P),H
38,"Sells, Mike (D)",2,Snohomish (P),H
39,"Pearson, Kirk (R)",0,"King (P), Skagit (P), Snohomish (P)",S
39,"Kristiansen, Dan (R)",1,"King (P), Skagit (P), Snohomish (P)",H
39,"Scott, Elizabeth (R)",2,"King (P), Skagit (P), Snohomish (P)",H
40,"Ranker, Kevin (D)",0,"San Juan, Skagit (P), Whatcom (P)",S
40,"Lytton, Kristine (D)",1,"San Juan, Skagit (P), Whatcom (P)",H
40,"Morris, Jeff (D)",2,"San Juan, Skagit (P), Whatcom (P)",H
41,"Litzow, Steve (R)",0,King (P),S
41,"Senn, Tana (D)",1,King (P),H
41,"Clibborn, Judy (D)",2,King (P),H
42,"Ericksen, Doug (R)",0,Whatcom (P),S
42,"Van Werven, Luanne (R)",1,Whatcom (P),H
42,"Buys, Vincent (R)",2,Whatcom (P),H
43,"Pedersen, Jamie (D)",0,King (P),S
43,"Walkinshaw, Brady (D)",1,King (P),H
43,"Chopp, Frank (D)",2,King (P),H
44,"Hobbs, Steve (D)",0,Snohomish (P),S
44,"Lovick, John (D)",1,Snohomish (P),H
44,"Harmsworth, Mark (R)",2,Snohomish (P),H
45,"Hill, Andy (R)",0,King (P),S
45,"Goodman, Roger (D)",1,King (P),H
45,"Springer, Larry (D)",2,King (P),H
46,"Frockt, David (D)",0,King (P),S
46,"Pollet, Gerry (D)",1,King (P),H
46,"Farrell, Jessyn (D)",2,King (P),H
47,"Fain, Joe (R)",0,King (P),S
47,"Hargrove, Mark (R)",1,King (P),H
47,"Sullivan, Pat (D)",2,King (P),H
48,"Habib, Cyrus (D)",0,King (P),S
48,"Kuderer, Patty (D)",1,King (P),H
48,"McBride, Joan (D)",2,King (P),H
49,"Cleveland, Annette (D)",0,Clark (P),S
49,"Wylie, Sharon (D)",1,Clark (P),H
49,"Moeller, Jim (D)",2,Clark (P),H
,,,,
(P) after county name indicates only part of the county is included in the district,,,,
Washington State Legislature,,,,
Menu Search ,,,,
Enter search terms,,,,
Go ,,,,
Washington State Legislature,,,,
Enter search terms Search,,,,
Legislature Home,,,,
House of Representatives,,,,
Senate,,,,
Find Your District Find Your District,,,,
Laws & Agency Rules,,,,
Bill Information,,,,
"Agendas, Schedules, and Calendars",,,,
Legislative Committees,,,,
Coming to the Legislature,,,,
Legislative Agencies,,,,
Legislative Information Center,,,,
Sign Up For Updates,,,,
View All Links,,,,
Main Sections,,,,
Legislature Home ,,,,
House of Representatives ,,,,
Senate ,,,,
Find Your District Find Your District ,,,,
Laws & Agency Rules ,,,,
Bill Information ,,,,
"Agendas, Schedules, & Calendars ",,,,
Legislative Committees ,,,,
Legislative Agencies ,,,,
Legislative Information Center ,,,,
Sign Up for Updates ,,,,
View all links ,,,,
Inside the Legislature,,,,
Legislature Home ,,,,
Find Your Legislator Find Your Legislator ,,,,
Senate ,,,,
Find Your District Find Your District ,,,,
Laws and Agency Rules ,,,,
Bill Information ,,,,
"Agendas, Schedules and Calendars ",,,,
Legislative Committees ,,,,
Member Information ,,,,
Coming to the Legislature ,,,,
Legislative Agencies ,,,,
Legislative Information Center ,,,,
Sign Up for Updates ,,,,
Track Bills ,,,,
Outside the Legislature,,,,
Governor's Website ,,,,
Congress - the Other Washington ,,,,
TVW ,,,,
Washington Courts ,,,,
OFM Fiscal Note Website ,,,,
Additional Information,,,,
Help ,,,,
Search ,,,,
How to Comment on a Bill ,,,,
Civic Education ,,,,
Reports to the Legislature,,,,
History of the State Legislature ,,,,
Gift Center ,,,,
Contact Us ,,,,
Glossary of Terms ,,,,
Privacy Notice ,,,,
Accessibility Information ,,,,
Disclaimer ,,,,
Comments about this site ,,,,
Translate,,,,
