ZIPCODE,DISTRICT
28503,not in wa
28712,not in wa
28803,not in wa
28804,not in wa
29129,not in wa
29306,not in wa
29407,not in wa
29631,not in wa
29650,not in wa
29909,not in wa
29910,not in wa
30004,not in wa
30022,not in wa
30033,not in wa
30040,not in wa
30044,not in wa
30067,not in wa
30078,not in wa
30097,not in wa
30114,not in wa
30126,not in wa
30127,not in wa
30160,not in wa
30306,not in wa
30316,not in wa
30319,not in wa
30326,not in wa
30328,not in wa
30329,not in wa
30338,not in wa
30339,not in wa
30341,not in wa
30342,not in wa
30517,not in wa
30750,not in wa
30809,not in wa
31021,not in wa
31904,not in wa
32202,not in wa
32207,not in wa
32225,not in wa
32259,not in wa
32277,not in wa
32308,not in wa
32312,not in wa
32401,not in wa
32413,not in wa
32506,not in wa
32550,not in wa
32566,not in wa
32578,not in wa
32601,not in wa
32653,not in wa
32721,not in wa
32814,not in wa
32960,not in wa
32963,not in wa
33020,not in wa
33027,not in wa
33130,not in wa
33131,not in wa
33139,not in wa
33140,not in wa
33143,not in wa
33305,not in wa
33317,not in wa
33323,not in wa
33355,not in wa
33414,not in wa
33426,not in wa
33432,not in wa
33437,not in wa
33444,not in wa
33483,not in wa
33556,not in wa
33596,not in wa
33622,not in wa
33629,not in wa
33705,not in wa
33813,not in wa
33907,not in wa
34114,not in wa
34134,not in wa
34145,not in wa
34209,not in wa
34228,not in wa
34229,not in wa
34238,not in wa
34293,not in wa
34771,not in wa
35157,not in wa
35203,not in wa
35216,not in wa
35223,not in wa
35243,not in wa
35630,not in wa
35634,not in wa
35763,not in wa
36606,not in wa
37067,not in wa
37122,not in wa
37205,not in wa
37206,not in wa
37211,not in wa
37216,not in wa
37230,not in wa
37830,not in wa
37843,not in wa
37909,not in wa
38018,not in wa
38103,not in wa
38104,not in wa
38115,not in wa
38117,not in wa
38120,not in wa
38138,not in wa
38401,not in wa
40202,not in wa
40223,not in wa
40353,not in wa
40422,not in wa
40502,not in wa
40511,not in wa
41042,not in wa
41050,not in wa
41051,not in wa
43016,not in wa
43017,not in wa
43026,not in wa
43050,not in wa
43212,not in wa
43512,not in wa
44070,not in wa
44111,not in wa
44113,not in wa
44131,not in wa
44311,not in wa
44813,not in wa
45011,not in wa
45018,not in wa
45202,not in wa
45206,not in wa
45214,not in wa
45243,not in wa
45601,not in wa
46033,not in wa
46201,not in wa
46225,not in wa
46268,not in wa
46285,not in wa
46307,not in wa
46311,not in wa
46321,not in wa
46375,not in wa
46755,not in wa
47250,not in wa
47630,not in wa
48065,not in wa
48073,not in wa
48103,not in wa
48104,not in wa
48187,not in wa
48188,not in wa
48197,not in wa
48201,not in wa
48307,not in wa
48324,not in wa
48327,not in wa
48343,not in wa
48390,not in wa
48393,not in wa
48446,not in wa
48641,not in wa
48823,not in wa
48854,not in wa
49009,not in wa
49128,not in wa
49242,not in wa
49266,not in wa
49316,not in wa
49417,not in wa
49512,not in wa
50010,not in wa
50023,not in wa
50323,not in wa
50325,not in wa
50327,not in wa
50588,not in wa
52240,not in wa
52246,not in wa
52302,not in wa
52556,not in wa
52768,not in wa
53029,not in wa
53082,not in wa
53085,not in wa
53121,not in wa
53201,not in wa
53203,not in wa
53207,not in wa
53223,not in wa
53578,not in wa
53593,not in wa
53705,not in wa
54301,not in wa
54311,not in wa
54401,not in wa
54521,not in wa
54971,not in wa
55105,not in wa
55118,not in wa
55122,not in wa
55144,not in wa
55317,not in wa
55328,not in wa
55346,not in wa
55347,not in wa
55379,not in wa
55386,not in wa
55391,not in wa
55402,not in wa
55403,not in wa
55405,not in wa
55407,not in wa
55412,not in wa
55419,not in wa
55423,not in wa
55426,not in wa
55436,not in wa
55437,not in wa
55440,not in wa
55446,not in wa
55479,not in wa
55734,not in wa
55744,not in wa
56003,not in wa
56031,not in wa
56267,not in wa
57067,not in wa
57702,not in wa
58072,not in wa
58104,not in wa
58270,not in wa
58783,not in wa
58801,not in wa
59102,not in wa
59601,not in wa
59602,not in wa
59634,not in wa
59701,not in wa
59703,not in wa
59718,not in wa
59771,not in wa
59801,not in wa
59802,not in wa
59807,not in wa
59808,not in wa
59840,not in wa
59844,not in wa
59901,not in wa
59937,not in wa
60001,not in wa
60004,not in wa
60015,not in wa
60018,not in wa
60044,not in wa
60056,not in wa
60062,not in wa
60064,not in wa
60068,not in wa
60168,not in wa
60174,not in wa
60193,not in wa
60201,not in wa
60202,not in wa
60304,not in wa
60305,not in wa
60403,not in wa
60430,not in wa
60438,not in wa
60467,not in wa
60487,not in wa
60506,not in wa
60523,not in wa
60527,not in wa
60544,not in wa
60585,not in wa
60601,not in wa
60603,not in wa
60604,not in wa
60605,not in wa
60606,not in wa
60607,not in wa
60608,not in wa
60611,not in wa
60614,not in wa
60615,not in wa
60618,not in wa
60625,not in wa
60631,not in wa
60640,not in wa
60642,not in wa
60645,not in wa
60647,not in wa
60652,not in wa
60653,not in wa
60654,not in wa
60657,not in wa
60660,not in wa
60661,not in wa
62220,not in wa
62265,not in wa
62301,not in wa
62401,not in wa
63005,not in wa
63105,not in wa
63118,not in wa
63121,not in wa
63131,not in wa
63132,not in wa
63141,not in wa
63167,not in wa
63178,not in wa
63183,not in wa
64030,not in wa
64105,not in wa
64108,not in wa
64116,not in wa
65240,not in wa
65803,not in wa
66027,not in wa
66049,not in wa
66064,not in wa
66205,not in wa
66225,not in wa
66762,not in wa
67702,not in wa
68025,not in wa
68114,not in wa
68154,not in wa
68179,not in wa
68502,not in wa
68649,not in wa
68970,not in wa
70000,not in wa
70002,not in wa
70115,not in wa
70117,not in wa
70124,not in wa
70130,not in wa
70131,not in wa
70360,not in wa
70448,not in wa
70767,not in wa
70791,not in wa
70808,not in wa
70816,not in wa
71111,not in wa
71360,not in wa
71446,not in wa
72115,not in wa
72207,not in wa
72712,not in wa
72716,not in wa
73162,not in wa
74105,not in wa
74121,not in wa
75006,not in wa
75025,not in wa
75028,not in wa
75034,not in wa
75035,not in wa
