Rank,Donor,Total,To Conservs,To Liberals,% to Conservs,% to Liberals
115,Mostyn Law Firm,"$1,000,000 ",$0 ,"$1,000,000 ",0%,100%
115,Petrodome Energy,"$1,000,000 ","$1,000,000 ",$0 ,100%,0%
115,Titan Advisors,"$1,000,000 ","$1,000,000 ",$0 ,100%,0%
115,Western Refining,"$1,000,000 ","$1,000,000 ",$0 ,100%,0%
125,Blackstone Group,"$976,000 ","$976,000 ",$0 ,100%,0%
126,Caxton Alternative Management,"$931,304 ","$931,304 ",$0 ,100%,0%
127,Duchossois Group,"$905,000 ","$905,000 ",$0 ,100%,0%
128,Crow Holdings,"$900,000 ","$900,000 ",$0 ,100%,0%
129,Conservative Solutions PAC,"$880,000 ",$0 ,"$880,000 ",0%,100%
130,American Fedn of St/Cnty/Munic Employees,"$862,116 ",$0 ,"$862,116 ",0%,100%
131,Harris Assoc,"$855,000 ","$855,000 ",$0 ,100%,0%
132,Woodforest National Bank,"$840,000 ","$840,000 ",$0 ,100%,0%
133,Devon Energy,"$830,300 ","$830,300 ",$0 ,100%,0%
134,Teamsters Union,"$821,000 ","$20,000 ","$801,000 ",2%,98%
135,Capital Group Companies,"$818,000 ","$818,000 ",$0 ,100%,0%
136,Barclays,"$816,978 ","$816,478 ",$500 ,100%,0%
137,Angel Investors,"$799,000 ","$799,000 ",$0 ,100%,0%
138,Gund Investment Corp,"$760,000 ","$760,000 ",$0 ,100%,0%
139,LPL Investment Group,"$755,000 ","$755,000 ",$0 ,100%,0%
140,KKR & Co,"$750,571 ","$750,571 ",$0 ,100%,0%
141,Medley Partners,"$750,000 ",$0 ,"$750,000 ",0%,100%
141,Progressive Women Silicon Valley,"$750,000 ",$0 ,"$750,000 ",0%,100%
141,Sallyport Investments,"$750,000 ","$750,000 ",$0 ,100%,0%
141,UAW Education Fund,"$750,000 ",$0 ,"$750,000 ",0%,100%
145,Silver Eagle Distributors,"$735,000 ","$700,000 ",$0 ,100%,0%
146,US Sugar,"$730,000 ","$655,000 ","$75,000 ",90%,10%
147,Cushman & Wakefield,"$715,201 ","$715,000 ",$201 ,100%,0%
148,eScription Inc,"$700,000 ",$0 ,"$700,000 ",0%,100%
148,Keep The Promise I,"$700,000 ","$700,000 ",$0 ,100%,0%
150,Morning Star Co,"$657,000 ","$657,000 ",$0 ,100%,0%
151,Mt Vernon Investments,"$647,000 ","$647,000 ",$0 ,100%,0%
152,"Kleiner, Perkins et al","$640,000 ","$140,000 ","$500,000 ",22%,78%
153,Bridger Capital Management,"$615,000 ","$615,000 ",$0 ,100%,0%
154,American Federation of Govt Employees,"$603,187 ",$0 ,"$578,187 ",0%,100%
155,Anne G Earhart Investments,"$600,000 ",$0 ,"$600,000 ",0%,100%
155,Bechtel Group,"$600,000 ","$600,000 ",$0 ,100%,0%
155,Kaitar Resources,"$600,000 ","$500,000 ","$100,000 ",83%,17%
155,Sol Goldman Investments,"$600,000 ",$0 ,"$600,000 ",0%,100%
159,Harbour Group,"$585,000 ","$585,000 ",$0 ,100%,0%
160,Anheuser-Busch,"$576,850 ","$576,850 ",$0 ,100%,0%
161,Satter Investment Management,"$560,000 ","$560,000 ",$0 ,100%,0%
162,Bluff Point Assoc,"$555,000 ","$555,000 ",$0 ,100%,0%
163,Bauman Foundation,"$550,000 ",$0 ,"$550,000 ",0%,100%
163,Children of Israel LLC,"$550,000 ","$550,000 ",$0 ,100%,0%
163,Greylock Partners,"$550,000 ","$550,000 ",$0 ,100%,0%
163,L Brands,"$550,000 ","$550,000 ",$0 ,100%,0%
167,We Are Fearless & United Org,"$541,761 ",$0 ,$0 ,0%,0%
168,New Day for America,"$525,335 ","$525,335 ",$0 ,100%,0%
169,Windquest Group,"$525,000 ","$525,000 ",$0 ,100%,0%
170,"Angelo, Gordon & Co","$521,000 ","$521,000 ",$0 ,100%,0%
171,Anschutz Corp,"$520,000 ","$520,000 ",$0 ,100%,0%
172,"Welsh, Carson et al","$515,000 ","$515,000 ",$0 ,100%,0%
173,Fayez Sarofim & Co,"$514,162 ","$514,162 ",$0 ,100%,0%
174,Carnival Cruise Lines,"$510,000 ","$510,000 ",$0 ,100%,0%
174,Hertog Foundation,"$510,000 ","$510,000 ",$0 ,100%,0%
174,Station Casinos,"$510,000 ","$510,000 ",$0 ,100%,0%
177,Copart Inc,"$505,000 ","$505,000 ",$0 ,100%,0%
178,Coastal Construction Group,"$504,970 ",$0 ,"$504,970 ",0%,100%
179,Johnson Co,"$501,604 ","$501,604 ",$0 ,100%,0%
180,Correct The Record,"$500,384 ",$0 ,"$500,384 ",0%,100%
181,Bad Robot Productions,"$500,000 ",$0 ,"$500,000 ",0%,100%
