Name, Party, Contributions, Expenditures, Debt
HARRY TRUMAN FUND, D, 564370.00, 257582.33, 28247.55
HOUSE DEMO CAMP COMM, D, 758760.58, 223468.28, 21150.31
HOUSE REPUB ORG COMM, R, 87011.88, 77313.17, 0.00
KENNEDY FUND, D, 528122.86, 181976.89, 19353.19
REAGAN FUND, R, 233283.36, 109128.85, 0.00
SENATE REPUB CAMP COMM, R, 337357.25, 31358.22, 0.00
THE LEADERSHIP COUNCIL, R, 675398.74, 28559.63, 0.00
WA SENATE DEMO CAMP, D, 423841.31, 191229.31, 1250.00
