Name, Party, Contributions, Expenditures, Debt
7TH LEG DIST DEMO CENT COMM NON EXEMPT, D, 3888.10, 1187.39, 0.00
WA ST DEMO CENT COMM EXEMPT, D, 1041780.33, 692660.57, 0.00
WA ST DEMO CENT COMM NON EXEMPT, D, 857106.62, 591470.53, 0.00
WA ST PROGRESSIVE CAUCUS, D, 2706.26, 260.19, 0.00
WA ST REPUB PARTY EXEMPT, R, 365353.09, 183717.25, 845.90
WA ST REPUB PARTY NON EXEMPT, R, 138404.98, 5002.49, 79.00
