Legislator, Activities, Hours
HOUSE COMMITTEE ON AGRICULTURE & NATURAL RESOURCES, 10, 5.15
HOUSE COMMITTEE ON APPROPRIATIONS, 34, 24.43
HOUSE COMMITTEE ON APPROPRIATIONS SUBCOMMITTEE ON GENERAL GOVERNMENT, 5, 10.15
HOUSE COMMITTEE ON APPROPRIATIONS SUBCOMMITTEE ON GENERAL GOVERNMENT & INFORMATION TECHNOLOGY, 5, 10.15
HOUSE COMMITTEE ON BUSINESS & FINANCIAL SERVICES, 18, 24.15
HOUSE COMMITTEE ON CAPITAL BUDGET, 6, 1.60
HOUSE COMMITTEE ON COMMUNITY DEVELOPMENT; HOUSING & TRIBAL AFFAIRS, 4, 3.00
HOUSE COMMITTEE ON EARLY LEARNING & HUMAN SERVICES, 13, 1.85
HOUSE COMMITTEE ON EDUCATION, 19, 18.29
HOUSE COMMITTEE ON ENVIRONMENT, 19, 10.70
HOUSE COMMITTEE ON FINANCE, 7, 10.65
HOUSE COMMITTEE ON GOVERNMENT ACCOUNTABILITY & OVERSIGHT, 1, 0.16
HOUSE COMMITTEE ON GOVERNMENT OPERATIONS & ELECTIONS, 7, 10.61
HOUSE COMMITTEE ON HEALTH CARE & WELLNESS, 23, 6.59
HOUSE COMMITTEE ON HIGHER EDUCATION, 31, 8.43
HOUSE COMMITTEE ON JUDICIARY, 20, 28.18
HOUSE COMMITTEE ON LABOR & WORKFORCE DEVELOPMENT, 6, 5.25
HOUSE COMMITTEE ON LOCAL GOVERNMENT, 7, 2.33
HOUSE COMMITTEE ON PUBLIC SAFETY, 6, 6.99
HOUSE COMMITTEE ON RULES, 1, 2.00
HOUSE COMMITTEE ON TECHNOLOGY & ECONOMIC DEVELOPMENT, 6, 8.25
HOUSE COMMITTEE ON TRANSPORTATION, 14, 1.66
HUMAN SERVICES & CORRECTIONS, 8, 2.29
LABOR & WORKFORCE DEVELOPMENT, 6, 5.25
LOCAL GOVERNMENT, 8, 3.33
SENATE COMMITTEE ON AGRICULTURE; WATER & RURAL ECONOMIC DEVELOPMENT, 7, 2.95
SENATE COMMITTEE ON COMMERCE & LABOR, 11, 2.08
SENATE COMMITTEE ON EARLY LEARNING & K-12 EDUCATION, 25, 21.10
SENATE COMMITTEE ON ENERGY; ENVIRONMENT & TELECOMMUNICATIONS, 12, 6.10
SENATE COMMITTEE ON FINANCIAL INSTITUTIONS; HOUSING & INSURANCE, 10, 15.25
SENATE COMMITTEE ON GOVERNMENTAL OPERATIONS, 24, 12.06
SENATE COMMITTEE ON HEALTH CARE, 22, 13.33
SENATE COMMITTEE ON HIGHER EDUCATION, 25, 13.74
SENATE COMMITTEE ON HUMAN SERVICES & CORRECTIONS, 8, 2.29
SENATE COMMITTEE ON LAW & JUSTICE, 13, 23.68
SENATE COMMITTEE ON NATURAL RESOURCES & PARKS, 8, 3.00
SENATE COMMITTEE ON TRADE & ECONOMIC DEVELOPMENT, 2, 1.30
SENATE COMMITTEE ON TRANSPORTATION, 14, 1.34
SENATE COMMITTEE ON WAYS & MEANS, 42, 30.55
SENATE WAYS & MEANS, 8, 3.55
